table_name,column_name,data_type,position,description,approx_rows_in_table
chars,companyid,double precision,1,CompanyID,0
chars,name,character varying(80),2,Name,0
chars,countryofinc,character varying(27),3,CountryOfInc,0
chars,ticker,character varying(20),4,Ticker,0
chars,cusip,character varying(11),5,CUSIP,0
chars,meetingid,double precision,6,MeetingID,0
chars,meetingdate,date,7,MeetingDate,0
chars,meetingtype,character varying(16),8,MeetingType,0
chars,recorddate,date,9,RecordDate,0
chars,meetingresultstatus,character varying(8),10,MeetingResultStatus,0
chars,meetingdisclosurestatus,character varying(13),11,MeetingDisclosureStatus,0
chars,capitalrepresentedshares,double precision,12,CapitalRepresentedShares,0
chars,capitalrepresentedsharespercenta,double precision,13,CapitalRepresentedSharesPercentage,0
chars,votesrepresentedshares,double precision,14,VotesRepresentedShares,0
chars,votesrepresentedsharespercentage,double precision,15,VotesRepresentedSharesPercentage,0
chars,agendachangedyn,double precision,16,AgendaChangedYN,0
chars,sponsor,character varying(11),17,Sponsor,0
chars,issagendaitemid,character varying(5),18,ISSagendaItemID,0
chars,agendageneraldesc,character varying(121),19,AgendaGeneralDesc,0
chars,itemonagendaid,double precision,20,ItemOnAgendaID,0
chars,itemdesc,character varying(257),21,ItemDesc,0
chars,ballotitemnumber,character varying(5),22,BallotItemNumber,0
chars,seqnumber,double precision,23,SeqNumber,0
chars,mgmtrec,character varying(11),24,MGMTrec,0
chars,voterequirement,double precision,25,VoteRequirement,0
chars,base,character varying(15),26,Base,0
chars,outstandingshare,double precision,27,OutstandingShare,0
chars,votedfor,double precision,28,VotedFor,0
chars,forpct,double precision,29,ForPct,0
chars,votedagainst,double precision,30,VotedAgainst,0
chars,againstpct,double precision,31,AgainstPct,0
chars,votedabstain,double precision,32,VotedAbstain,0
chars,brokernonvote,double precision,33,BrokerNonVote,0
chars,votedwithheld,character varying(1),34,VotedWithheld,0
chars,voteresult,character varying(14),35,VoteResult,0
chars,decidedby,character varying(13),36,DecidedBy,0
chars,requirement,character varying(13),37,Requirement,0
